Frame Number ,Layer Number,Overflow Count,Underflow Count,Max GNA value,Scale Factor,Max FP32 value,Mean of Overflowing FP32 values,Median,GNA Layer Name,IR Layer Name
1,489,0,55,0.949219,512,0.967767,0,0,kActIdentity_489,identity_133
1,205,0,9,0.988281,512,0.997954,0,0,kActIdentity_205,identity_52
1,137,0,4,2.375,256,4.43278,0,0,kActIdentity_137,identity_33
1,428,23,0,64.0,512,676.712,115.2538,78.001,kActIdentity_428,identity_116
1,103,0,0,0.0429688,512,0.0370142,0,0,kActIdentity_103,identity_23
1,515,0,0,0.0546875,512,0.0660614,0,0,kActIdentity_515,identity_140
1,264,33,0,64.0,512,153.93,68.42976666666667,62.329,kActIdentity_264,identity_70
1,236,17,0,64.0,512,542.192,96.41513529411765,54.6561,kActIdentity_236,identity_61
1,148,51,0,64.0,512,808.398,107.78283137254904,70.6974,kActIdentity_148,identity_37
1,521,33,0,64.0,512,470.565,391.422303030303,365.333,kActIdentity_521,identity_142
1,312,109,0,64.0,512,90.2662,65.10135137614678,62.6276,kActIdentity_312,identity_83
1,447,4,0,64.0,512,219.312,108.9882,78.3577,kActIdentity_447,identity_121
1,470,190,0,64.0,512,224.801,73.8578147368421,69.2019,kActIdentity_470,identity_128
1,166,0,0,2.71094,512,2.39225,0,0,kActIdentity_166,identity_42
1,338,36,0,63.998,512,341.681,63.10331944444445,60.4429,kActIdentity_338,identity_91
1,03,8,0,64.0,512,402.941,116.97183749999999,67.36914999999999,kActIdentity_3,identity_9
2,564,18,0,64.0,512,64.0,63.99955555555555,64.0,kActIdentity_564,identity_154
2,01,3,0,63.998,512,71.8229,69.76823333333334,69.4447,kActIdentity_1,identity_5
